areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,Wales,W92000004,2020-06-17,53,14922
nation,England,E92000001,2020-06-16,252,157545
nation,Northern Ireland,N92000002,2020-06-16,2,4854
nation,Scotland,S92000003,2020-06-16,15,18045
nation,Wales,W92000004,2020-06-16,65,14869
nation,England,E92000001,2020-06-15,219,157293
nation,Northern Ireland,N92000002,2020-06-15,4,4852
nation,Scotland,S92000003,2020-06-15,29,18030
nation,Wales,W92000004,2020-06-15,62,14804
nation,England,E92000001,2020-06-14,292,157074
nation,Northern Ireland,N92000002,2020-06-14,7,4848
nation,Scotland,S92000003,2020-06-14,25,15755
nation,Wales,W92000004,2020-06-14,39,14742
nation,England,E92000001,2020-06-13,372,156782
nation,Northern Ireland,N92000002,2020-06-13,3,4841
nation,Scotland,S92000003,2020-06-13,21,15730
nation,Wales,W92000004,2020-06-13,45,14703
nation,England,E92000001,2020-06-12,392,156410
nation,Northern Ireland,N92000002,2020-06-12,16,4838
nation,Scotland,S92000003,2020-06-12,27,15709
nation,Wales,W92000004,2020-06-12,77,14658
nation,England,E92000001,2020-06-11,304,156018
nation,Northern Ireland,N92000002,2020-06-11,4,4822
nation,Scotland,S92000003,2020-06-11,17,15682
nation,Wales,W92000004,2020-06-11,63,14581
nation,England,E92000001,2020-06-10,63,155714
nation,Northern Ireland,N92000002,2020-06-10,13,4818
nation,Scotland,S92000003,2020-06-10,12,15665
nation,Wales,W92000004,2020-06-10,38,14518
nation,England,E92000001,2020-06-09,651,155651
nation,Northern Ireland,N92000002,2020-06-09,3,4805
nation,Scotland,S92000003,2020-06-09,14,15653
nation,Wales,W92000004,2020-06-09,42,14480
nation,England,E92000001,2020-06-08,92,155000
nation,Northern Ireland,N92000002,2020-06-08,6,4802
nation,Scotland,S92000003,2020-06-08,18,15639
nation,Wales,W92000004,2020-06-08,42,14438
nation,England,E92000001,2020-06-07,228,154908
nation,Northern Ireland,N92000002,2020-06-07,6,4796
nation,Scotland,S92000003,2020-06-07,18,15621
nation,Wales,W92000004,2020-06-07,40,14396
nation,England,E92000001,2020-06-06,422,154680
nation,Northern Ireland,N92000002,2020-06-06,14,4790
nation,Scotland,S92000003,2020-06-06,21,15603
nation,Wales,W92000004,2020-06-06,42,14356
nation,England,E92000001,2020-06-05,451,154258
nation,Northern Ireland,N92000002,2020-06-05,3,4776
nation,Scotland,S92000003,2020-06-05,29,15582
nation,Wales,W92000004,2020-06-05,76,14314
nation,England,E92000001,2020-06-04,431,153807
nation,Northern Ireland,N92000002,2020-06-04,33,4773
nation,Scotland,S92000003,2020-06-04,49,15553
nation,Wales,W92000004,2020-06-04,35,14238
nation,England,E92000001,2020-06-03,462,153376
nation,Northern Ireland,N92000002,2020-06-03,8,4740
nation,Scotland,S92000003,2020-06-03,33,15504
nation,Wales,W92000004,2020-06-03,82,14203
nation,England,E92000001,2020-06-02,444,152914
nation,Northern Ireland,N92000002,2020-06-02,4,4732
nation,Scotland,S92000003,2020-06-02,53,15471
nation,Wales,W92000004,2020-06-02,67,14121
nation,England,E92000001,2020-06-01,294,152470
nation,Northern Ireland,N92000002,2020-06-01,12,4728
nation,Scotland,S92000003,2020-06-01,18,15418
nation,Wales,W92000004,2020-06-01,59,14054
nation,England,E92000001,2020-05-31,320,152176
nation,Northern Ireland,N92000002,2020-05-31,7,4716
nation,Scotland,S92000003,2020-05-31,18,15400
nation,Wales,W92000004,2020-05-31,82,13995
nation,England,E92000001,2020-05-30,715,151856
nation,Northern Ireland,N92000002,2020-05-30,13,4709
nation,Scotland,S92000003,2020-05-30,55,15382
nation,Wales,W92000004,2020-05-30,86,13913
nation,England,E92000001,2020-05-29,560,151982
nation,Northern Ireland,N92000002,2020-05-29,17,4696
nation,Scotland,S92000003,2020-05-29,39,15327
nation,Wales,W92000004,2020-05-29,102,13827
nation,England,E92000001,2020-05-28,519,151422
nation,Northern Ireland,N92000002,2020-05-28,16,4679
nation,Scotland,S92000003,2020-05-28,48,15288
nation,Wales,W92000004,2020-05-28,72,13725
nation,England,E92000001,2020-05-27,609,150903
nation,Northern Ireland,N92000002,2020-05-27,26,4663
nation,Scotland,S92000003,2020-05-27,55,15240
nation,Wales,W92000004,2020-05-27,97,13653
nation,England,E92000001,2020-05-26,492,150294
nation,Northern Ireland,N92000002,2020-05-26,28,4637
nation,Scotland,S92000003,2020-05-26,29,15185
nation,Wales,W92000004,2020-05-26,141,13556
nation,England,E92000001,2020-05-25,494,149802
nation,Northern Ireland,N92000002,2020-05-25,39,4609
nation,Scotland,S92000003,2020-05-25,55,15156
nation,Wales,W92000004,2020-05-25,106,13415
nation,England,E92000001,2020-05-24,584,149308
nation,Northern Ireland,N92000002,2020-05-24,25,4570
nation,Scotland,S92000003,2020-05-24,60,15101
nation,Wales,W92000004,2020-05-24,140,13309
nation,England,E92000001,2020-05-23,979,148724
nation,Northern Ireland,N92000002,2020-05-23,41,4545
nation,Scotland,S92000003,2020-05-23,72,15041
nation,Wales,W92000004,2020-05-23,185,13169
nation,England,E92000001,2020-05-22,1083,147745
nation,Northern Ireland,N92000002,2020-05-22,23,4504
nation,Scotland,S92000003,2020-05-22,113,14969
nation,Wales,W92000004,2020-05-22,138,12984
nation,England,E92000001,2020-05-21,854,146662
nation,Northern Ireland,N92000002,2020-05-21,42,4481
nation,Scotland,S92000003,2020-05-21,105,14856
nation,Wales,W92000004,2020-05-21,166,12846
nation,England,E92000001,2020-05-20,824,145808
nation,Northern Ireland,N92000002,2020-05-20,18,4439
nation,Scotland,S92000003,2020-05-20,96,14751
nation,Wales,W92000004,2020-05-20,110,12680
nation,England,E92000001,2020-05-19,857,145376
nation,Northern Ireland,N92000002,2020-05-19,20,4421
nation,Scotland,S92000003,2020-05-19,61,14655
nation,Wales,W92000004,2020-05-19,166,12570
nation,England,E92000001,2020-05-18,816,144519
nation,Northern Ireland,N92000002,2020-05-18,16,4401
nation,Scotland,S92000003,2020-05-18,57,14594
nation,Wales,W92000004,2020-05-18,101,12404
nation,England,E92000001,2020-05-17,788,143703
nation,Northern Ireland,N92000002,2020-05-17,28,4385
nation,Scotland,S92000003,2020-05-17,90,14537
nation,Wales,W92000004,2020-05-17,162,12304
nation,England,E92000001,2020-05-16,1136,142915
nation,Northern Ireland,N92000002,2020-05-16,40,4357
nation,Scotland,S92000003,2020-05-16,187,14447
nation,Wales,W92000004,2020-05-16,183,12142
nation,England,E92000001,2020-05-15,1112,141779
nation,Northern Ireland,N92000002,2020-05-15,26,4317
nation,Scotland,S92000003,2020-05-15,143,14260
nation,Wales,W92000004,2020-05-15,126,11960
nation,England,E92000001,2020-05-14,1189,140667
nation,Northern Ireland,N92000002,2020-05-14,38,4291
nation,Scotland,S92000003,2020-05-14,188,14117
nation,Wales,W92000004,2020-05-14,128,11834
nation,England,E92000001,2020-05-13,1146,139478
nation,Northern Ireland,N92000002,2020-05-13,60,4253
nation,Scotland,S92000003,2020-05-13,166,13929
nation,Wales,W92000004,2020-05-13,133,11706
nation,England,E92000001,2020-05-12,1067,138332
nation,Northern Ireland,N92000002,2020-05-12,44,4193
nation,Scotland,S92000003,2020-05-12,136,13763
nation,Wales,W92000004,2020-05-12,105,11573
nation,England,E92000001,2020-05-11,891,137265
nation,Northern Ireland,N92000002,2020-05-11,30,4149
nation,Scotland,S92000003,2020-05-11,141,13627
nation,Wales,W92000004,2020-05-11,124,11468
nation,England,E92000001,2020-05-10,1007,136374
nation,Northern Ireland,N92000002,2020-05-10,41,4119
nation,Scotland,S92000003,2020-05-10,181,13486
nation,Wales,W92000004,2020-05-10,223,11344
nation,England,E92000001,2020-05-09,1349,135367
nation,Northern Ireland,N92000002,2020-05-09,56,4078
nation,Scotland,S92000003,2020-05-09,156,13305
nation,Wales,W92000004,2020-05-09,118,11121
nation,England,E92000001,2020-05-08,1694,134018
nation,Northern Ireland,N92000002,2020-05-08,38,4022
nation,Scotland,S92000003,2020-05-08,225,13149
nation,Wales,W92000004,2020-05-08,152,11003
nation,England,E92000001,2020-05-07,2133,132324
nation,Northern Ireland,N92000002,2020-05-07,50,3984
nation,Scotland,S92000003,2020-05-07,215,12924
nation,Wales,W92000004,2020-05-07,87,10851
nation,England,E92000001,2020-05-06,1611,130191
nation,Northern Ireland,N92000002,2020-05-06,53,3934
nation,Scotland,S92000003,2020-05-06,272,12709
nation,Wales,W92000004,2020-05-06,95,10764
nation,England,E92000001,2020-05-05,1842,128580
nation,Northern Ireland,N92000002,2020-05-05,45,3881
nation,Scotland,S92000003,2020-05-05,171,12437
nation,Wales,W92000004,2020-05-05,145,10669
nation,England,E92000001,2020-05-04,1485,126738
nation,Northern Ireland,N92000002,2020-05-04,69,3836
nation,Scotland,S92000003,2020-05-04,169,12266
nation,Wales,W92000004,2020-05-04,195,10524
nation,England,E92000001,2020-05-03,2019,125253
nation,Northern Ireland,N92000002,2020-05-03,78,3767
nation,Scotland,S92000003,2020-05-03,170,12097
nation,Wales,W92000004,2020-05-03,174,10329
nation,England,E92000001,2020-05-02,2228,123234
nation,Northern Ireland,N92000002,2020-05-02,66,3689
nation,Scotland,S92000003,2020-05-02,273,11927
nation,Wales,W92000004,2020-05-02,183,10155
nation,England,E92000001,2020-05-01,2501,121006
nation,Northern Ireland,N92000002,2020-05-01,87,3623
nation,Scotland,S92000003,2020-05-01,301,11654
nation,Wales,W92000004,2020-05-01,160,9972
nation,England,E92000001,2020-04-30,2484,118343
nation,Northern Ireland,N92000002,2020-04-30,73,3536
nation,Scotland,S92000003,2020-04-30,319,11353
nation,Wales,W92000004,2020-04-30,183,9812
nation,England,E92000001,2020-04-29,1403,115859
nation,Northern Ireland,N92000002,2020-04-29,55,3463
nation,Scotland,S92000003,2020-04-29,313,11034
nation,Wales,W92000004,2020-04-29,117,9629
nation,England,E92000001,2020-04-28,1989,114456
nation,Northern Ireland,N92000002,2020-04-28,34,3408
nation,Scotland,S92000003,2020-04-28,200,10721
nation,Wales,W92000004,2020-04-28,232,9512
nation,England,E92000001,2020-04-27,2264,112467
nation,Northern Ireland,N92000002,2020-04-27,66,3374
nation,Scotland,S92000003,2020-04-27,197,10521
nation,Wales,W92000004,2020-04-27,203,9280
nation,England,E92000001,2020-04-26,2152,110203
nation,Northern Ireland,N92000002,2020-04-26,82,3308
nation,Scotland,S92000003,2020-04-26,273,10324
nation,Wales,W92000004,2020-04-26,178,9078
nation,England,E92000001,2020-04-25,2826,108051
nation,Northern Ireland,N92000002,2020-04-25,104,3226
nation,Scotland,S92000003,2020-04-25,354,10051
nation,Wales,W92000004,2020-04-25,299,8900
nation,England,E92000001,2020-04-24,3004,105225
nation,Northern Ireland,N92000002,2020-04-24,106,3122
nation,Scotland,S92000003,2020-04-24,288,9697
nation,Wales,W92000004,2020-04-24,243,8601
nation,England,E92000001,2020-04-23,3084,102221
nation,Northern Ireland,N92000002,2020-04-23,142,3016
nation,Scotland,S92000003,2020-04-23,371,9409
nation,Wales,W92000004,2020-04-23,234,8358
nation,England,E92000001,2020-04-22,3020,99137
nation,Northern Ireland,N92000002,2020-04-22,116,2874
nation,Scotland,S92000003,2020-04-22,366,9038
nation,Wales,W92000004,2020-04-22,274,8124
nation,England,E92000001,2020-04-21,3087,96117
nation,Northern Ireland,N92000002,2020-04-21,30,2758
nation,Scotland,S92000003,2020-04-21,222,8672
nation,Wales,W92000004,2020-04-21,304,7850
nation,England,E92000001,2020-04-20,2401,93030
nation,Northern Ireland,N92000002,2020-04-20,83,2728
nation,Scotland,S92000003,2020-04-20,263,8450
nation,Wales,W92000004,2020-04-20,276,7546
nation,England,E92000001,2020-04-19,3607,90629
nation,Northern Ireland,N92000002,2020-04-19,159,2645
nation,Scotland,S92000003,2020-04-19,367,8187
nation,Wales,W92000004,2020-04-19,334,7270
nation,England,E92000001,2020-04-18,3548,87022
nation,Northern Ireland,N92000002,2020-04-18,148,2486
nation,Scotland,S92000003,2020-04-18,411,7820
nation,Wales,W92000004,2020-04-18,292,6936
nation,England,E92000001,2020-04-17,3985,83474
nation,Northern Ireland,N92000002,2020-04-17,137,2338
nation,Scotland,S92000003,2020-04-17,307,7409
nation,Wales,W92000004,2020-04-17,244,6645
nation,England,E92000001,2020-04-16,3118,79489
nation,Northern Ireland,N92000002,2020-04-16,113,2201
nation,Scotland,S92000003,2020-04-16,354,7102
nation,Wales,W92000004,2020-04-16,284,6401
nation,England,E92000001,2020-04-15,3188,76371
nation,Northern Ireland,N92000002,2020-04-15,121,2088
nation,Scotland,S92000003,2020-04-15,390,6748
nation,Wales,W92000004,2020-04-15,272,6118
nation,England,E92000001,2020-04-14,3854,73183
nation,Northern Ireland,N92000002,2020-04-14,85,1967
nation,Scotland,S92000003,2020-04-14,291,6358
nation,Wales,W92000004,2020-04-14,238,5848
nation,England,E92000001,2020-04-13,2999,69329
nation,Northern Ireland,N92000002,2020-04-13,76,1882
nation,Scotland,S92000003,2020-04-13,155,6067
nation,Wales,W92000004,2020-04-13,313,5610
nation,England,E92000001,2020-04-12,3672,66330
nation,Northern Ireland,N92000002,2020-04-12,89,1806
nation,Scotland,S92000003,2020-04-12,322,5912
nation,Wales,W92000004,2020-04-12,367,5297
nation,England,E92000001,2020-04-11,3841,62658
nation,Northern Ireland,N92000002,2020-04-11,128,1717
nation,Scotland,S92000003,2020-04-11,315,5590
nation,Wales,W92000004,2020-04-11,340,4930
nation,England,E92000001,2020-04-10,4263,58817
nation,Northern Ireland,N92000002,2020-04-10,112,1589
nation,Scotland,S92000003,2020-04-10,318,5275
nation,Wales,W92000004,2020-04-10,502,4591
nation,England,E92000001,2020-04-09,3798,54554
nation,Northern Ireland,N92000002,2020-04-09,138,1477
nation,Scotland,S92000003,2020-04-09,392,4957
nation,Wales,W92000004,2020-04-09,16,4089
nation,England,E92000001,2020-04-08,4788,50756
nation,Northern Ireland,N92000002,2020-04-08,84,1339
nation,Scotland,S92000003,2020-04-08,336,4565
nation,Wales,W92000004,2020-04-08,283,4073
nation,England,E92000001,2020-04-07,2978,45968
nation,Northern Ireland,N92000002,2020-04-07,97,1255
nation,Scotland,S92000003,2020-04-07,268,4229
nation,Wales,W92000004,2020-04-07,291,3790
nation,England,E92000001,2020-04-06,3176,42990
nation,Northern Ireland,N92000002,2020-04-06,69,1158
nation,Scotland,S92000003,2020-04-06,255,3961
nation,Wales,W92000004,2020-04-06,302,3499
nation,England,E92000001,2020-04-05,5107,39814
nation,Northern Ireland,N92000002,2020-04-05,91,1089
nation,Scotland,S92000003,2020-04-05,361,3706
nation,Wales,W92000004,2020-04-05,344,3197
nation,England,E92000001,2020-04-04,2910,34707
nation,Northern Ireland,N92000002,2020-04-04,94,998
nation,Scotland,S92000003,2020-04-04,344,3345
nation,Wales,W92000004,2020-04-04,387,2853
nation,England,E92000001,2020-04-03,3576,31797
nation,Northern Ireland,N92000002,2020-04-03,130,904
nation,Scotland,S92000003,2020-04-03,399,3001
nation,Wales,W92000004,2020-04-03,345,2466
nation,England,E92000001,2020-04-02,3583,28221
nation,Northern Ireland,N92000002,2020-04-02,85,774
nation,Scotland,S92000003,2020-04-02,292,2602
nation,Wales,W92000004,2020-04-02,284,2121
nation,England,E92000001,2020-04-01,3630,24638
nation,Northern Ireland,N92000002,2020-04-01,103,689
nation,Scotland,S92000003,2020-04-01,317,2310
nation,Wales,W92000004,2020-04-01,274,1837
nation,England,E92000001,2020-03-31,2414,21008
nation,Northern Ireland,N92000002,2020-03-31,53,586
nation,Scotland,S92000003,2020-03-31,430,1993
nation,Wales,W92000004,2020-03-31,112,1563
nation,England,E92000001,2020-03-30,2107,18594
nation,Northern Ireland,N92000002,2020-03-30,123,533
nation,Scotland,S92000003,2020-03-30,179,1563
nation,Wales,W92000004,2020-03-30,210,1451
nation,England,E92000001,2020-03-29,2060,16487
nation,Northern Ireland,N92000002,2020-03-29,86,410
nation,Scotland,S92000003,2020-03-29,139,1384
nation,Wales,W92000004,2020-03-29,148,1241
nation,England,E92000001,2020-03-28,2139,14427
nation,Northern Ireland,N92000002,2020-03-28,49,324
nation,Scotland,S92000003,2020-03-28,186,1245
nation,Wales,W92000004,2020-03-28,172,1093
nation,England,E92000001,2020-03-27,2506,12288
nation,Northern Ireland,N92000002,2020-03-27,34,275
nation,Scotland,S92000003,2020-03-27,165,1059
nation,Wales,W92000004,2020-03-27,180,921
nation,England,E92000001,2020-03-26,1809,9782
nation,Northern Ireland,N92000002,2020-03-26,32,241
nation,Scotland,S92000003,2020-03-26,175,894
nation,Wales,W92000004,2020-03-26,113,741
nation,England,E92000001,2020-03-25,1130,7973
nation,Northern Ireland,N92000002,2020-03-25,37,209
nation,Scotland,S92000003,2020-03-25,135,719
nation,Wales,W92000004,2020-03-25,150,628
nation,England,E92000001,2020-03-24,1258,6843
nation,Northern Ireland,N92000002,2020-03-24,24,172
nation,Scotland,S92000003,2020-03-24,85,584
nation,Wales,W92000004,2020-03-24,60,478
nation,England,E92000001,2020-03-23,793,5585
nation,Northern Ireland,N92000002,2020-03-23,20,148
nation,Scotland,S92000003,2020-03-23,83,499
nation,Wales,W92000004,2020-03-23,71,418
nation,England,E92000001,2020-03-22,535,4792
nation,Northern Ireland,N92000002,2020-03-22,20,128
nation,Scotland,S92000003,2020-03-22,43,416
nation,Wales,W92000004,2020-03-22,67,347
nation,England,E92000001,2020-03-21,873,4257
nation,Northern Ireland,N92000002,2020-03-21,22,108
nation,Scotland,S92000003,2020-03-21,51,373
nation,Wales,W92000004,2020-03-21,89,280
nation,England,E92000001,2020-03-20,628,3384
nation,Northern Ireland,N92000002,2020-03-20,9,86
nation,Scotland,S92000003,2020-03-20,56,322
nation,Wales,W92000004,2020-03-20,21,191
nation,England,E92000001,2020-03-19,574,2756
nation,Northern Ireland,N92000002,2020-03-19,9,77
nation,Scotland,S92000003,2020-03-19,39,266
nation,Wales,W92000004,2020-03-19,21,170
nation,England,E92000001,2020-03-18,625,2182
nation,Northern Ireland,N92000002,2020-03-18,6,68
nation,Scotland,S92000003,2020-03-18,32,227
nation,Wales,W92000004,2020-03-18,13,149
nation,England,E92000001,2020-03-17,361,1557
nation,Northern Ireland,N92000002,2020-03-17,10,62
nation,Scotland,S92000003,2020-03-17,24,195
nation,Wales,W92000004,2020-03-17,12,136
nation,England,E92000001,2020-03-16,97,1196
nation,Northern Ireland,N92000002,2020-03-16,7,52
nation,Scotland,S92000003,2020-03-16,18,171
nation,Wales,W92000004,2020-03-16,30,124
nation,England,E92000001,2020-03-15,253,1099
nation,Northern Ireland,N92000002,2020-03-15,11,45
nation,Scotland,S92000003,2020-03-15,32,153
nation,Wales,W92000004,2020-03-15,34,94
nation,England,E92000001,2020-03-14,201,846
nation,Northern Ireland,N92000002,2020-03-14,5,34
nation,Scotland,S92000003,2020-03-14,36,121
nation,Wales,W92000004,2020-03-14,22,60
nation,England,E92000001,2020-03-13,159,645
nation,Northern Ireland,N92000002,2020-03-13,10,29
nation,Scotland,S92000003,2020-03-13,25,85
nation,Wales,W92000004,2020-03-13,13,38
nation,England,E92000001,2020-03-12,99,486
nation,Northern Ireland,N92000002,2020-03-12,1,19
nation,Scotland,S92000003,2020-03-12,24,60
nation,Wales,W92000004,2020-03-12,10,25
nation,England,E92000001,2020-03-11,63,387
nation,Northern Ireland,N92000002,2020-03-11,2,18
nation,Scotland,S92000003,2020-03-11,9,36
nation,Wales,W92000004,2020-03-11,9,15
nation,England,E92000001,2020-03-10,,324
nation,Northern Ireland,N92000002,2020-03-10,0,16
nation,Scotland,S92000003,2020-03-10,4,27
nation,Wales,W92000004,2020-03-10,,6
nation,Scotland,S92000003,2020-03-09,5,23
nation,Scotland,S92000003,2020-03-08,2,18
nation,Scotland,S92000003,2020-03-07,5,16
nation,Scotland,S92000003,2020-03-06,5,11
nation,Scotland,S92000003,2020-03-05,3,6
nation,Scotland,S92000003,2020-03-04,2,3
nation,Scotland,S92000003,2020-03-03,0,1
nation,Scotland,S92000003,2020-03-02,1,1
